SKU	Plan	Phase	Call Type	Goal	Deliverables	Actionable Items
Forecast	Pro	5	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Forecast	Pro	5	Enablement & Launch			establish champion network
Forecast	Pro	5	Enablement & Launch			announce go-live
Forecast	Pro	5	Enablement & Launch			set up adoption KPIs and dashboards
Forecast	Pro	5	Enablement & Launch			establish change control & governance cadence.
Forecast	QS	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Confirmed ownership matrix.	Identify core owners by function; confirm which individuals are accountable, responsible, and informed.
Forecast	QS	1	Kickoff		Cadence framework defined.	Select forecast cadence and implementation rhythm (e.g., weekly sprints; 30-day standard cycle).
Forecast	QS	1	Kickoff		Project calendar.	Book all implementation calls (Foundations, Engage, Forecast, Enablement) and hold times if needed.
Forecast	QS	1	Kickoff		Success KPI doc.	Align on measurable success criteria by product (Foundations, Engage, Forecast) and document KPIs.
Forecast	QS	2	Discovery	Understand forecast process & needs.	Forecast discovery document.	Hold forecast discovery session(s); map current vs. ideal forecast workflow
Forecast	QS	2	Discovery			define forecast categories, amounts, close dates, levels, and accuracy/coverage KPIs.
Forecast	QS	3	Technical Setup	Build forecast boards.	Forecast boards & roles configured.	Confirm CRM sync for forecast fields
Forecast	QS	3	Technical Setup			apply role-based permissions
Forecast	QS	3	Technical Setup			set forecast reminder cadence and submission locks
Forecast	QS	3	Technical Setup			configure warning conditions
Forecast	QS	3	Technical Setup			build boards by line of business (New Biz, Renewals, Growth).
Forecast	QS	5	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Forecast	QS	5	Enablement & Launch			establish champion network
Forecast	QS	5	Enablement & Launch			announce go-live
Forecast	QS	5	Enablement & Launch			set up adoption KPIs and dashboards
Forecast	QS	5	Enablement & Launch			establish change control & governance cadence.
Enable		1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Confirmed ownership matrix.	Identify core owners by function; confirm which individuals are accountable, responsible, and informed.
Enable		2	Customization	Tailor Gong to company process.	Tracker config list.	Review and build out custom Keyword Trackers
Enable		2	Customization			enable default Smart Trackers aligned to target outcomes.
Enable		2	Customization	Tailor Gong to company process.	Scorecard built.	Build rep-level evaluation scorecards
Enable		2	Customization			review how to use scorecards once they are published.
Enable		2	Customization	Tailor Gong to company process.	Library organized by team.	Organize call libraries and streams by team/motion
Enable		2	Customization			define content sharing rules and permissions.
Enable		3	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Enable		3	Enablement & Launch			establish champion network
Enable		3	Enablement & Launch			announce go-live
Enable		3	Enablement & Launch			set up adoption KPIs and dashboards
Enable		3	Enablement & Launch			establish change control & governance cadence.
Engage	Plus	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Project calendar.	Book all implementation calls (Foundations, Engage, Forecast, Enablement) and hold times if needed.
Engage	Plus	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Success KPI doc.	Align on measurable success criteria by product (Foundations, Engage, Forecast) and document KPIs.
Engage	Plus	2	Workflow Discovery	Understand lead flow & outreach processes.	Workflow & routing map.	Run workflow discovery sessions
Engage	Plus	2	Workflow Discovery			document lead sources
Engage	Plus	2	Workflow Discovery			routing rules
Engage	Plus	2	Workflow Discovery			persona strategies
Engage	Plus	2	Workflow Discovery			flow segmentation (Inbound/Outbound/Nurture).
Engage	Plus	3	Technical Setup	Configure Engage and validate syncs.	CRM sync + dialer + flows configured.	Set up Engage CRM sync 
Engage	Plus	3	Technical Setup			configure email sending and tracking
Engage	Plus	3	Technical Setup			configure Gong Dialer (numbers, local dialing, trusted calling)
Engage	Plus	3	Technical Setup			configure flow automation and triggers.
Engage	Plus	4	Content Strategy	Define message library and personalization framework.	Template library & personalization framework.	Draft and upload templates per motion/persona
Engage	Plus	4	Content Strategy			add dynamic CRM fields
Engage	Plus	4	Content Strategy			set up sending domain (SPF/DKIM)
Engage	Plus	4	Content Strategy			define content feedback loop for reps.
Engage	Plus	5	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Engage	Plus	5	Enablement & Launch			establish champion network
Engage	Plus	5	Enablement & Launch			announce go-live
Engage	Plus	5	Enablement & Launch			set up adoption KPIs and dashboards
Engage	Plus	5	Enablement & Launch			establish change control & governance cadence.
Engage	Pro	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Project calendar.	Book all implementation calls (Foundations, Engage, Forecast, Enablement) and hold times if needed.
Engage	Pro	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Success KPI doc.	Align on measurable success criteria by product (Foundations, Engage, Forecast) and document KPIs.
Engage	Pro	2	Workflow Discovery	Understand lead flow & outreach processes.	Workflow & routing map.	Run workflow discovery sessions
Engage	Pro	2	Workflow Discovery			document lead sources
Engage	Pro	2	Workflow Discovery			routing rules
Engage	Pro	2	Workflow Discovery			persona strategies
Engage	Pro	2	Workflow Discovery			flow segmentation (Inbound/Outbound/Nurture).
Engage	Pro	3	Technical Setup	Configure Engage and validate syncs.	CRM sync + dialer + flows configured.	Set up Engage CRM sync 
Engage	Pro	3	Technical Setup			configure email sending and tracking
Engage	Pro	3	Technical Setup			configure Gong Dialer (numbers, local dialing, trusted calling)
Engage	Pro	3	Technical Setup			configure flow automation and triggers.
Engage	Pro	4	Content Strategy	Define message library and personalization framework.	Template library & personalization framework.	Draft and upload templates per motion/persona
Engage	Pro	4	Content Strategy			add dynamic CRM fields
Engage	Pro	4	Content Strategy			set up sending domain (SPF/DKIM)
Engage	Pro	4	Content Strategy			define content feedback loop for reps.
Engage	Pro	5	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Engage	Pro	5	Enablement & Launch			establish champion network
Engage	Pro	5	Enablement & Launch			announce go-live
Engage	Pro	5	Enablement & Launch			set up adoption KPIs and dashboards
Engage	Pro	5	Enablement & Launch			establish change control & governance cadence.
Engage	QS	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Project calendar.	Book all implementation calls (Foundations, Engage, Forecast, Enablement) and hold times if needed.
Engage	QS	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Success KPI doc.	Align on measurable success criteria by product (Foundations, Engage, Forecast) and document KPIs.
Engage	QS	2	Workflow Discovery	Understand lead flow & outreach processes.	Workflow & routing map.	Run workflow discovery sessions
Engage	QS	2	Workflow Discovery			document lead sources
Engage	QS	2	Workflow Discovery			routing rules
Engage	QS	2	Workflow Discovery			persona strategies
Engage	QS	2	Workflow Discovery			flow segmentation (Inbound/Outbound/Nurture).
Engage	QS	3	Technical Setup	Configure Engage and validate syncs.	CRM sync + dialer + flows configured.	Set up Engage CRM sync 
Engage	QS	3	Technical Setup			configure email sending and tracking
Engage	QS	3	Technical Setup			configure Gong Dialer (numbers, local dialing, trusted calling)
Engage	QS	3	Technical Setup			configure flow automation and triggers.
Engage	QS	5	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Engage	QS	5	Enablement & Launch			establish champion network
Engage	QS	5	Enablement & Launch			announce go-live
Engage	QS	5	Enablement & Launch			set up adoption KPIs and dashboards
Engage	QS	5	Enablement & Launch			establish change control & governance cadence.
